title,freq
tt2771800,1
tt0050212,1
tt0381681,6
tt0414993,3
tt0308644,6
tt3962820,1
tt1837709,2
tt2073029,2
tt0422272,1
tt0283530,1
tt1045658,44
tt2327430,1
tt0347149,4
tt1142977,8
tt0405508,3
tt4226388,1
tt0185125,1
tt0040897,1
tt0292644,1
tt0097108,2
tt1567609,1
tt2608732,1
tt3910804,1
tt0081398,2
tt0059592,1
tt1840417,1
tt0337692,5
tt0476735,1
tt1431122,1
tt0990407,1
tt3544112,2
tt0381849,1
tt3268668,1
tt2316411,1
tt2106739,1
tt1430132,6
tt0398286,4
tt2452254,1
tt1527186,6
tt0119345,1
tt2381249,1
tt1213663,2
tt0276751,1
tt2193215,1
tt0056687,2
tt2035630,1
tt0417299,1
tt0115798,2
tt2948356,4
tt1860355,1
tt0762125,1
tt2788710,1
tt0993842,1
tt0993846,28
tt0113497,4
tt1253863,3
tt1646971,2
tt3322364,2
tt0810784,2
tt0398842,1
tt1438254,1
tt1931435,1
tt0213847,2
tt2304771,1
tt1499658,4
tt2402085,1
tt0020629,1
tt0104952,1
tt0098471,1
tt0335345,1
tt0480249,6
tt4624424,1
tt0177971,2
tt0031679,1
tt0118694,5
tt1637688,5
tt3612616,2
tt0164912,1
tt0056868,1
tt0056869,1
tt0083987,4
tt0043014,1
tt0223897,2
tt0109279,1
tt0156610,1
tt1178665,2
tt0087469,1
tt0230600,4
tt0102798,3
tt3416532,1
tt3783958,1
tt0363547,1
tt0061852,2
tt1691917,1
tt0810819,9
tt0359950,16
tt1726592,1
tt0425210,2
tt1078588,1
tt0080520,1
tt0814314,5
tt0082031,1
tt1878870,1
tt0294870,1
tt1343092,19
tt0111495,2
tt1322269,2
tt0804497,1
tt2310332,6
tt0423176,1
tt0046534,1
tt3076658,4
tt0421994,1
tt3170832,11
tt0364647,1
tt0435625,1
tt1509767,2
tt0458481,2
tt0111549,1
tt1816518,2
tt5154528,1
tt1280558,2
tt1588170,2
tt0808151,1
tt0106834,1
tt1821480,3
tt0106833,1
tt0080455,1
tt2582846,13
tt1690953,3
tt0416449,6
tt0375611,1
tt2802154,4
tt2649554,2
tt2131532,1
tt0120716,1
tt0106307,1
tt0307453,1
tt0080274,1
tt1583420,1
tt1583421,4
tt0040662,1
tt1156470,1
tt0313911,1
tt0088461,1
tt0127536,1
tt0165854,1
tt4257926,1
tt1397514,5
tt2109184,2
tt0295671,1
tt0077651,1
tt0087884,1
tt1641385,1
tt1490017,7
tt0017136,1
tt0111161,35
tt2365847,1
tt2005151,1
tt1411697,3
tt0053604,1
tt2861424,1
tt0264464,15
tt1937390,4
tt1540128,1
tt4827290,1
tt0120152,1
tt0169547,16
tt0379889,1
tt1740710,1
tt1655441,2
tt1104083,1
tt0110167,1
tt1618421,1
tt0384793,1
tt0160797,1
tt0107943,1
tt0120753,1
tt1043726,2
tt1538403,5
tt1368491,1
tt1716777,2
tt0242653,1
tt0055614,1
tt2287663,1
tt0055928,2
tt0092991,1
tt1365050,4
tt1401643,1
tt0482651,1
tt0970452,1
tt1865505,4
tt0116209,2
tt0472399,1
tt0268978,14
tt2084970,20
tt0298130,4
tt0119008,1
tt1486185,1
tt1636844,1
tt1318514,6
tt0087164,1
tt2277860,2
tt1109624,1
tt1255953,3
tt0881891,1
tt1541160,1
tt0079116,1
tt2395695,2
tt1706620,7
tt1191111,2
tt0119174,1
tt0119177,2
tt1850418,1
tt0383222,1
tt3532278,1
tt0100332,1
tt0975645,6
tt2161930,1
tt4302938,2
tt0095675,1
tt0119567,3
tt1426378,1
tt1454468,37
tt1748179,1
tt0129290,3
tt0393162,4
tt0112851,1
tt0800369,5
tt0119358,1
tt1374992,3
tt1430626,2
tt1327194,3
tt2106476,17
tt1692486,1
tt1172998,1
tt0318462,3
tt0172669,1
tt0433400,1
tt3659388,25
tt0266697,7
tt1731141,1
tt0092116,1
tt0918927,1
tt0046250,1
tt1854236,1
tt3322420,1
tt1855325,4
tt1832382,4
tt0368709,1
tt1327773,2
tt1980929,1
tt0317648,1
tt2402091,1
tt0063385,1
tt1571222,1
tt2363471,1
tt1201607,13
tt0356680,1
tt0058461,1
tt3833520,1
tt4716708,1
tt1457767,6
tt2937696,1
tt2011971,1
tt0420901,1
tt1931533,14
tt0404390,1
tt1932718,1
tt0477071,1
tt0105236,10
tt2094890,1
tt0763831,1
tt0362227,13
tt1991245,1
tt3183660,1
tt4326444,1
tt1625346,2
tt0034583,6
tt2488496,9
tt4500922,1
tt1098327,1
tt0479500,1
tt1726589,1
tt2555736,1
tt2582782,1
tt0102492,1
tt1623745,1
tt0102494,1
tt0481499,1
tt0385002,1
tt0109424,3
tt0088727,1
tt0137523,35
tt0105435,1
tt0287717,1
tt0052572,1
tt3663184,1
tt1807944,1
tt2799166,1
tt0120890,1
tt2523832,1
tt3125324,1
tt2125435,13
tt0238380,2
tt0467421,2
tt2120152,1
tt1515091,4
tt0945513,6
tt0139654,1
tt0327437,2
tt0898367,6
tt0098282,1
tt1781769,8
tt1148204,4
tt2329220,1
tt1862079,6
tt1386697,6
tt1983079,1
tt0309987,1
tt0837562,9
tt0096874,4
tt0048473,1
tt3631112,1
tt2115295,1
tt2246953,1
tt0120762,1
tt0469494,9
tt1291150,4
tt0454876,245
tt1156466,1
tt1735898,11
tt1843287,2
tt3498820,5
tt0145487,3
tt0123865,1
tt0840361,2
tt1711425,1
tt1877832,9
tt3063516,2
tt0385752,5
tt0120382,17
tt0780504,10
tt0097493,1
tt0106226,2
tt0142342,1
tt0053137,1
tt3103598,1
tt0099423,1
tt1069238,1
tt0365748,4
tt0375735,1
tt0120363,1
tt3522806,1
tt0245844,4
tt1124035,1
tt2305051,11
tt0475293,2
tt1152836,4
tt0412596,1
tt1366312,1
tt0107157,1
tt1729674,1
tt1895587,12
tt0478304,14
tt0101921,1
tt1674773,2
tt0106246,4
tt0044706,1
tt0276919,3
tt1186830,2
tt0212712,4
tt0099088,2
tt0071230,1
tt0110997,1
tt0445953,1
tt2058107,1
tt0092965,1
tt0113083,1
tt0485947,8
tt0094737,1
tt1235166,1
tt0465925,1
tt2140619,1
tt1623288,2
tt3499096,1
tt0245712,4
tt0072235,1
tt0096928,1
tt0180073,1
tt0315733,4
tt1486192,2
tt0463985,1
tt0060390,1
tt0013442,2
tt0307901,1
tt0107207,2
tt0347618,2
tt0112913,1
tt0044386,1
