rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
7.6	0	PG-13	0	[<Person: u'Baz Luhrmann' (u'nm0525303')>, <Person: u'Craig Pearce' (u'nm0668902')>]	2001	tt0203009	0	226882	[<Person: u'Baz Luhrmann' (u'nm0525303')>]	[<Person: u'Nicole Kidman' (u'nm0000173')>, <Person: u'Ewan McGregor' (u'nm0000191')>, <Person: u'John Leguizamo' (u'nm0000491')>, <Person: u'Jim Broadbent' (u'nm0000980')>]	Moulin Rouge!	0	0	1	0	0	feature	0	0	0	9	0	0	[]	1	0	0	7620	0
7.2	0	Unrated	0	[<Person: u'Caroline Eliacheff' (u'nm0253428')>, <Person: u'Abbas Kiarostami' (u'nm0452102')>]	2010	tt1020773	0	14956	[<Person: u'Abbas Kiarostami' (u'nm0452102')>]	[<Person: u'Juliette Binoche' (u'nm0000300')>, <Person: u'William Shimell' (u'nm1468516')>, <Person: u'Jean-Claude Carri\xe8re' (u'nm0140643')>, <Person: u'Agathe Natanson' (u'nm0622145')>]	Certified Copy	0	0	0	0	0	feature	0	0	0	7	0	0	[]	1	0	0	6360	0
7.4	0	Unrated	0	[<Person: u'Michael Haneke' (u'nm0359734')>, <Person: u'Elfriede Jelinek' (u'nm0420548')>]	2001	tt0254686	0	39641	[<Person: u'Michael Haneke' (u'nm0359734')>]	[<Person: u'Isabelle Huppert' (u'nm0001376')>, <Person: u'Annie Girardot' (u'nm0320760')>, <Person: u'Beno\xeet Magimel' (u'nm0536095')>, <Person: u'Susanne Lothar' (u'nm0521443')>]	The Piano Teacher	0	0	1	1	0	feature	0	0	0	5	0	0	[]	1	0	0	7860	0
8.1	0	R	0	[<Person: u'Paddy Chayefsky' (u'nm0154665')>]	1976	tt0074958	0	106150	[<Person: u'Sidney Lumet' (u'nm0001486')>]	[<Person: u'Faye Dunaway' (u'nm0001159')>, <Person: u'William Holden' (u'nm0000034')>, <Person: u'Peter Finch' (u'nm0002075')>, <Person: u'Robert Duvall' (u'nm0000380')>]	Network	0	0	0	0	0	feature	0	0	0	6	0	0	[]	1	0	0	7260	0
7.7	0	R	0	[<Person: u'Jane Goldman' (u'nm0963359')>, <Person: u'Matthew Vaughn' (u'nm0891216')>]	2010	tt1250777	0	443153	[<Person: u'Matthew Vaughn' (u'nm0891216')>]	[<Person: u'Aaron Taylor-Johnson' (u'nm1093951')>, <Person: u'Nicolas Cage' (u'nm0000115')>, <Person: u'Chlo\xeb Grace Moretz' (u'nm1631269')>, <Person: u'Garrett M. Brown' (u'nm0113595')>]	Kick-Ass	0	0	0	0	1	feature	0	0	0	6	0	0	[]	0	0	1	7020	0
7.1	0	R	0	[<Person: u'David Constantine' (u'nm3807555')>, <Person: u'Andrew Haigh' (u'nm0354091')>]	2015	tt3544082	0	20282	[<Person: u'Andrew Haigh' (u'nm0354091')>]	[<Person: u'Charlotte Rampling' (u'nm0001648')>, <Person: u'Tom Courtenay' (u'nm0183822')>, <Person: u'Geraldine James' (u'nm0416524')>, <Person: u'Dolly Wells' (u'nm0920185')>]	45 Years	0	0	1	0	0	feature	0	0	0	5	0	0	[]	1	0	0	5700	0
7.7	0	R	1	[<Person: u'Alex Proyas' (u'nm0001639')>, <Person: u'Alex Proyas' (u'nm0001639')>]	1998	tt0118929	0	159162	[<Person: u'Alex Proyas' (u'nm0001639')>]	[<Person: u'Rufus Sewell' (u'nm0001722')>, <Person: u'Kiefer Sutherland' (u'nm0000662')>, <Person: u'Jennifer Connelly' (u'nm0000124')>, <Person: u'William Hurt' (u'nm0000458')>]	Dark City	1	0	0	0	0	feature	0	0	0	6	1	1	[]	1	0	1	6000	0
8.1	0	R	0	[<Person: u'Ingmar Bergman' (u'nm0000005')>]	1982	tt0083922	0	44425	[<Person: u'Ingmar Bergman' (u'nm0000005')>]	[<Person: u'Bertil Guve' (u'nm0349776')>, <Person: u'Pernilla Allwin' (u'nm0021655')>, <Person: u'Kristina Adolphson' (u'nm0012358')>, <Person: u'B\xf6rje Ahlstedt' (u'nm0014062')>]	Fanny and Alexander	0	0	0	0	0	feature	0	0	0	10	0	0	[]	1	0	0	11280	0
8.4	0	TV-14	1	[<Person: u'Hayao Miyazaki' (u'nm0594503')>]	1997	tt0119698	0	228437	[<Person: u'Hayao Miyazaki' (u'nm0594503')>]	[<Person: u'Y\xf4ji Matsuda' (u'nm0559444')>, <Person: u'Yuriko Ishida' (u'nm0410942')>, <Person: u'Y\xfbko Tanaka' (u'nm0849100')>, <Person: u'Billy Crudup' (u'nm0001082')>]	Princess Mononoke	0	0	0	0	0	feature	0	0	1	10	0	0	[]	0	0	0	8040	0
6.8	0	PG-13	0	[<Person: u'Nicholas Stoller' (u'nm0831557')>, <Person: u'Jarrad Paul' (u'nm0666871')>]	2008	tt1068680	0	275976	[<Person: u'Peyton Reed' (u'nm0715636')>]	[<Person: u'Jim Carrey' (u'nm0000120')>, <Person: u'Zooey Deschanel' (u'nm0221046')>, <Person: u'Bradley Cooper' (u'nm0177896')>, <Person: u'John Michael Higgins' (u'nm0383422')>]	Yes Man	0	0	1	0	1	feature	0	0	0	4	0	0	[]	0	0	0	6240	0
