,id,title,freq,rating,year,votes,runtime,type,certification,action,comedy,horror,thriller,adventure,mystery,drama,history,sci_fi,crime,romance,music,western,war,biography,fantasy,family,cast_summary,writers_summary,directors_summary,adj_freq,adj_rating,adj_year,adj_votes,adj_runtime,adj_cast_summary,adj_writers_summary,adj_directors_summary,adj_action,adj_comedy,adj_horror,adj_thriller,adj_adventure,adj_mystery,adj_drama,adj_history,adj_sci_fi,adj_crime,adj_romance,adj_music,adj_western,adj_war,adj_biography,adj_fantasy,adj_family,adj_type,adj_certification
117,tt0910970,WALL·E,50,8.4,2008,739537.0,5880.0,feature,G,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Ben Burtt|Elissa Knight|Jeff Garlin|Fred Willard,Andrew Stanton|Pete Docter,Andrew Stanton,0.19028340081,0.951219512195,0.921348314607,0.730443279776,0.979020979021,0.0,0.5,0.0,0.227272727273,-0.35,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,-0.798484848485,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,0.721212121212,1.0,0.0
29,tt3170832,Room,49,8.2,2015,186501.0,7080.0,feature,R,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Brie Larson|Jacob Tremblay|Sean Bridgers|Wendy Crewson,Emma Donoghue|Emma Donoghue,Lenny Abrahamson,0.186234817814,1.0,1.0,0.862925758284,0.839160839161,0.0,0.0,0.0,0.227272727273,-0.35,0.0681818181818,0.212121212121,-0.413636363636,0.119696969697,0.513636363636,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
630,tt0198781,"Monsters, Inc.",47,8.1,2001,603100.0,5520.0,feature,TV-PG,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Billy Crystal|John Goodman|Mary Gibbs|Steve Buscemi,Pete Docter|Jill Culton,Pete Docter|David Silverman,0.178137651822,0.975609756098,0.842696629213,0.830761357721,0.979020979021,0.0,0.5,0.5,0.227272727273,0.65,-0.931818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,0.730303030303,0.721212121212,1.0,0.0
164,tt3397884,Sicario,46,7.6,2015,216982.0,7260.0,feature,R,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,Emily Blunt|Josh Brolin|Benicio Del Toro|Jon Bernthal,Taylor Sheridan,Denis Villeneuve,0.174089068826,0.853658536585,1.0,0.885337533197,0.818181818182,0.0,0.0,0.0,-0.772727272727,-0.35,0.0681818181818,-0.787878787879,-0.413636363636,-0.880303030303,0.513636363636,0.0681818181818,0.201515151515,-0.874242424242,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
548,tt3682448,Bridge of Spies,46,7.6,2015,195221.0,8520.0,feature,PG-13,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Tom Hanks|Mark Rylance|Alan Alda|Amy Ryan,Matt Charman|Ethan Coen,Steven Spielberg,0.174089068826,0.853658536585,1.0,0.869337315557,0.671328671329,0.0,0.0,0.0,0.227272727273,-0.35,0.0681818181818,-0.787878787879,-0.413636363636,0.119696969697,0.513636363636,-0.931818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
640,tt0435761,Toy Story 3,45,8.3,2010,559756.0,6180.0,feature,G,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Tom Hanks|Tim Allen|Joan Cusack|Ned Beatty,John Lasseter|Andrew Stanton,Lee Unkrich,0.17004048583,0.975609756098,0.943820224719,0.862630914882,0.944055944056,0.0,0.0,0.0,0.227272727273,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,0.730303030303,0.721212121212,1.0,0.0
422,tt1596363,The Big Short,44,7.8,2015,211536.0,7800.0,feature,R,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt,Charles Randolph|Adam McKay,Adam McKay,0.165991902834,0.90243902439,1.0,0.881333250983,0.755244755245,0.0,0.0,0.0,0.227272727273,0.65,0.0681818181818,0.212121212121,-0.413636363636,0.119696969697,0.513636363636,-0.931818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,-0.913636363636,-0.269696969697,-0.278787878788,1.0,0.0
533,tt1895587,Spotlight,43,8.1,2015,225403.0,7680.0,feature,R,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber,Josh Singer|Tom McCarthy,Tom McCarthy,0.161943319838,0.975609756098,1.0,0.891529244642,0.769230769231,0.0,0.0,0.0,0.227272727273,-0.35,0.0681818181818,0.212121212121,-0.413636363636,0.119696969697,0.513636363636,-0.931818181818,0.201515151515,-0.874242424242,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,-0.913636363636,-0.269696969697,-0.278787878788,1.0,0.0
267,tt0114709,Toy Story,43,8.3,1995,641611.0,4860.0,feature,TV-G,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Tom Hanks|Tim Allen|Don Rickles|Jim Varney,John Lasseter|Pete Docter,John Lasseter,0.161943319838,0.975609756098,0.775280898876,0.802445362062,0.902097902098,0.0,0.5,0.0,0.227272727273,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,0.730303030303,0.721212121212,1.0,0.0
279,tt2245084,Big Hero 6,42,7.9,2014,290209.0,6120.0,feature,PG,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,Ryan Potter|Scott Adsit|Jamie Chung|T.J. Miller,Jordan Roberts|Robert L. Baird,Don Hall|Chris Williams,0.157894736842,0.926829268293,0.988764044944,0.939179173615,0.951048951049,0.0,0.0,0.0,-0.772727272727,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,0.513636363636,0.0681818181818,-0.798484848485,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,0.721212121212,1.0,1.0
