,id,title,adj_certification,adj_type,adj_family,adj_fantasy,adj_biography,adj_war,adj_western,adj_music,adj_romance,adj_crime,adj_sci_fi,adj_history,adj_drama,adj_mystery,adj_adventure,adj_thriller,adj_horror,adj_comedy,adj_animation,adj_action,adj_directors_summary,adj_writers_summary,adj_cast_summary,adj_runtime,adj_votes,adj_year,adj_rating,adj_freq
448,tt2096673,Inside Out,1.0,1.0,0.721212121212,0.730303030303,0.0863636363636,0.0469696969697,0.019696969697,0.0318181818182,0.163636363636,0.125757575758,0.201515151515,0.0681818181818,0.513636363636,0.119696969697,0.586363636364,0.212121212121,0.0681818181818,0.65,0.201515151515,0.227272727273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
550,tt1663202,The Revenant,0.0,1.0,-0.278787878788,-0.269696969697,0.0863636363636,0.0469696969697,-0.980303030303,0.0318181818182,0.163636363636,0.125757575758,0.201515151515,0.0681818181818,0.513636363636,0.119696969697,0.586363636364,-0.787878787879,0.0681818181818,-0.35,0.201515151515,0.227272727273,0.0,0.0,0.0,0.573426573427,0.943351832735,1.0,0.951219512195,0.283400809717
61,tt3659388,The Martian,0.0,1.0,-0.278787878788,-0.269696969697,0.0863636363636,0.0469696969697,0.019696969697,0.0318181818182,0.163636363636,0.125757575758,-0.798484848485,0.0681818181818,0.513636363636,0.119696969697,0.586363636364,0.212121212121,0.0681818181818,-0.35,-0.798484848485,0.227272727273,0.0,0.0,0.0,0.657342657343,0.896417321793,1.0,0.951219512195,0.259109311741
447,tt1392190,Mad Max: Fury Road,0.0,1.0,-0.278787878788,-0.269696969697,0.0863636363636,0.0469696969697,0.019696969697,0.0318181818182,0.163636363636,0.125757575758,-0.798484848485,0.0681818181818,-0.486363636364,0.119696969697,0.586363636364,-0.787878787879,0.0681818181818,-0.35,-0.798484848485,-0.772727272727,0.0,0.0,0.0,0.825174825175,0.8449961913,1.0,0.975609756098,0.259109311741
77,tt2488496,Star Wars: The Force Awakens,0.0,1.0,-0.278787878788,0.730303030303,0.0863636363636,0.0469696969697,0.019696969697,0.0318181818182,0.163636363636,0.125757575758,-0.798484848485,0.0681818181818,-0.486363636364,0.119696969697,0.586363636364,0.212121212121,0.0681818181818,-0.35,-0.798484848485,-0.772727272727,0.0,0.0,0.0,0.713286713287,0.832515712727,1.0,1.0,0.259109311741
10,tt2948356,Zootopia,1.0,1.0,0.721212121212,-0.269696969697,0.0863636363636,0.0469696969697,0.019696969697,0.0318181818182,0.163636363636,-0.874242424242,0.201515151515,0.0681818181818,-0.486363636364,-0.880303030303,0.586363636364,0.212121212121,0.0681818181818,0.65,0.201515151515,0.227272727273,0.0,0.0,0.0,0.909090909091,0.891193961372,0.988764044944,0.975609756098,0.234817813765
225,tt1049413,Up,1.0,1.0,0.721212121212,-0.269696969697,0.0863636363636,0.0469696969697,0.019696969697,0.0318181818182,0.163636363636,0.125757575758,0.201515151515,0.0681818181818,-0.486363636364,0.119696969697,0.586363636364,0.212121212121,0.0681818181818,0.65,0.201515151515,0.227272727273,0.5,0.5,0.0,0.993006993007,0.76979347727,0.932584269663,0.975609756098,0.222672064777
360,tt0470752,Ex Machina,0.0,1.0,-0.278787878788,-0.269696969697,0.0863636363636,0.0469696969697,0.019696969697,0.0318181818182,0.163636363636,0.125757575758,-0.798484848485,0.0681818181818,0.513636363636,-0.880303030303,-0.413636363636,-0.787878787879,0.0681818181818,-0.35,-0.798484848485,0.227272727273,0.0,0.0,0.0,0.909090909091,0.952472125902,1.0,0.878048780488,0.210526315789
628,tt0266543,Finding Nemo,0.0,1.0,0.721212121212,-0.269696969697,0.0863636363636,0.0469696969697,0.019696969697,0.0318181818182,0.163636363636,0.125757575758,0.201515151515,0.0681818181818,-0.486363636364,0.119696969697,0.586363636364,0.212121212121,0.0681818181818,0.65,0.201515151515,0.227272727273,0.0,0.0,0.0,0.965034965035,0.749346344677,0.865168539326,1.0,0.202429149798
613,tt3460252,The Hateful Eight,0.0,1.0,-0.278787878788,-0.269696969697,0.0863636363636,0.0469696969697,-0.980303030303,0.0318181818182,0.163636363636,-0.874242424242,0.201515151515,0.0681818181818,0.513636363636,-0.880303030303,-0.413636363636,-0.787878787879,0.0681818181818,-0.35,0.201515151515,0.227272727273,0.0,0.0,0.0,0.496503496503,0.945962042405,1.0,0.926829268293,0.19028340081
