,id,title,freq,rating,year,votes,runtime,type,certification,action,comedy,horror,thriller,adventure,mystery,drama,history,sci_fi,crime,romance,music,western,war,biography,fantasy,family,adj_freq,adj_rating,adj_year,adj_votes,adj_runtime,adj_action,adj_comedy,adj_horror,adj_thriller,adj_adventure,adj_mystery,adj_drama,adj_history,adj_sci_fi,adj_crime,adj_romance,adj_music,adj_western,adj_war,adj_biography,adj_fantasy,adj_family,adj_type,adj_certification
185,tt0407887,The Departed,57,8.5,2006,894762,9060,feature,R,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.219008264463,0.857142857143,0.835616438356,0.654195292449,0.971428571429,0.172576832151,0.234042553191,0.0401891252955,-0.723404255319,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
358,tt0099685,Goodfellas,56,8.7,1990,745987,8760,feature,R,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.214876033058,0.928571428571,0.945205479452,0.542415745533,0.92380952381,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,-0.90780141844,0.139479905437,0.0567375886525,1.0,1.0
192,tt1853728,Django Unchained,56,8.5,2012,983044,9900,feature,R,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.214876033058,0.857142857143,0.753424657534,0.720524460393,0.895238095238,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,-0.22695035461,0.167848699764,0.0212765957447,-0.985815602837,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
326,tt0066921,A Clockwork Orange,55,8.3,1971,572072,8160,feature,R,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.210743801653,0.785714285714,0.684931506849,0.411747690403,0.828571428571,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,-0.83451536643,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
249,tt0209144,Memento,52,8.5,2000,865529,6780,feature,R,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.198347107438,0.857142857143,0.917808219178,0.632231578821,0.609523809524,0.172576832151,0.234042553191,0.0401891252955,-0.723404255319,0.215130023641,-0.867612293144,-0.68085106383,0.0614657210402,0.16548463357,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
19,tt0169547,American Beauty,51,8.4,1999,840508,7320,feature,R,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.194214876033,0.821428571429,0.931506849315,0.613432479218,0.695238095238,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,-0.22695035461,-0.832151300236,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
98,tt0075314,Taxi Driver,51,8.3,1976,520290,6780,feature,R,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.194214876033,0.785714285714,0.753424657534,0.372842172013,0.609523809524,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
110,tt0102926,The Silence of the Lambs,49,8.6,1991,911275,7080,feature,R,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.185950413223,0.892857142857,0.958904109589,0.66660205204,0.657142857143,0.172576832151,0.234042553191,0.0401891252955,-0.723404255319,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
291,tt0133093,The Matrix,48,8.7,1999,1245966,8160,feature,R,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.181818181818,0.928571428571,0.931506849315,0.918066399793,0.828571428571,-0.827423167849,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,-0.68085106383,0.0614657210402,-0.83451536643,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
56,tt0993846,The Wolf of Wall Street,48,8.2,2013,809496,10800,feature,R,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.181818181818,0.75,0.739726027397,0.590132144424,0.752380952381,0.172576832151,-0.765957446809,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,-0.90780141844,0.139479905437,0.0567375886525,1.0,1.0
178,tt0338013,Eternal Sunshine of the Spotless Mind,45,8.3,2004,683773,6480,feature,R,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.169421487603,0.785714285714,0.86301369863,0.4956723227,0.561904761905,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,-0.83451536643,-0.22695035461,-0.832151300236,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,-0.860520094563,0.0567375886525,1.0,1.0
341,tt0120586,American History X,45,8.6,1998,800294,6060,feature,TV-14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.169421487603,0.892857142857,0.945205479452,0.583218379405,0.495238095238,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,0.0
352,tt0816692,Interstellar,45,8.6,2014,967588,10140,feature,PG-13,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.169421487603,0.892857142857,0.72602739726,0.708911859639,0.857142857143,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,-0.784869976359,0.132387706856,0.31914893617,0.0614657210402,-0.83451536643,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,0.0
198,tt0110413,Léon: The Professional,43,8.6,1994,744527,6600,feature,Unrated,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.161157024793,0.892857142857,1.0,0.54131879955,0.580952380952,0.172576832151,0.234042553191,0.0401891252955,-0.723404255319,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,0.0
