rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
7.6	0	PG-13	0	[<Person: u'Matt Charman' (u'nm4131020')>, <Person: u'Ethan Coen' (u'nm0001053')>]	2015	tt3682448	0	194263	[<Person: u'Steven Spielberg' (u'nm0000229')>]	[<Person: u'Tom Hanks' (u'nm0000158')>, <Person: u'Mark Rylance' (u'nm0753314')>, <Person: u'Alan Alda' (u'nm0000257')>, <Person: u'Amy Ryan' (u'nm0752407')>]	Bridge of Spies	0	0	0	0	0	feature	0	0	0	5	1	0	[]	1	1	0	8520	0
6.6	0	R	0	[<Person: u'Keith Merryman' (u'nm2226647')>, <Person: u'David A. Newman' (u'nm2226970')>]	2011	tt1632708	0	275874	[<Person: u'Will Gluck' (u'nm0323239')>]	[<Person: u'Mila Kunis' (u'nm0005109')>, <Person: u'Justin Timberlake' (u'nm0005493')>, <Person: u'Patricia Clarkson' (u'nm0165101')>, <Person: u'Jenna Elfman' (u'nm0001184')>]	Friends with Benefits	0	0	1	0	1	feature	0	0	0	4	0	0	[]	0	0	0	6540	0
8	0	R	0	[<Person: u'Mark L. Smith' (u'nm1872664')>, <Person: u'Alejandro G. I\xf1\xe1rritu' (u'nm0327944')>]	2015	tt1663202	0	447233	[<Person: u'Alejandro G. I\xf1\xe1rritu' (u'nm0327944')>]	[<Person: u'Leonardo DiCaprio' (u'nm0000138')>, <Person: u'Tom Hardy' (u'nm0362766')>, <Person: u'Will Poulter' (u'nm2401020')>, <Person: u'Domhnall Gleeson' (u'nm1727304')>]	The Revenant	0	0	0	0	0	feature	0	0	1	18	1	0	[]	1	0	0	9360	1
8.5	0	PG	0	[<Person: u'Robert Zemeckis' (u'nm0000709')>, <Person: u'Bob Gale' (u'nm0301826')>]	1985	tt0088763	0	751791	[<Person: u'Robert Zemeckis' (u'nm0000709')>]	[<Person: u'Michael J. Fox' (u'nm0000150')>, <Person: u'Christopher Lloyd' (u'nm0000502')>, <Person: u'Lea Thompson' (u'nm0000670')>, <Person: u'Crispin Glover' (u'nm0000417')>]	Back to the Future	1	0	0	0	1	feature	0	0	1	25	0	0	[]	0	0	0	6960	0
7.7	0	R	0	[<Person: u'Yasutaka Tsutsui' (u'nm0875489')>, <Person: u'Seishi Minakami' (u'nm2008007')>]	2006	tt0851578	0	45770	[<Person: u'Satoshi Kon' (u'nm0464804')>]	[<Person: u'Megumi Hayashibara' (u'nm0370677')>, <Person: u'T\xf4ru Emori' (u'nm0256609')>, <Person: u'Katsunosuke Hori' (u'nm0394653')>, <Person: u'T\xf4ru Furuya' (u'nm0299228')>]	Paprika	1	1	0	0	0	feature	0	0	1	4	1	1	[]	0	0	0	5400	0
8.6	0	TV-14	0	[<Person: u'David McKenna' (u'nm0571346')>]	1998	tt0120586	0	800294	[<Person: u'Tony Kaye' (u'nm0443411')>]	[<Person: u'Edward Norton' (u'nm0001570')>, <Person: u'Edward Furlong' (u'nm0000411')>, <Person: u"Beverly D'Angelo" (u'nm0000350')>, <Person: u'Jennifer Lien' (u'nm0000497')>]	American History X	0	1	0	0	0	feature	0	0	0	45	0	0	[]	1	0	0	6060	0
7.6	0	R	0	[<Person: u'Bret Easton Ellis' (u'nm0254735')>, <Person: u'Mary Harron' (u'nm0366004')>]	2000	tt0144084	0	365725	[<Person: u'Mary Harron' (u'nm0366004')>]	[<Person: u'Christian Bale' (u'nm0000288')>, <Person: u'Justin Theroux' (u'nm0857620')>, <Person: u'Josh Lucas' (u'nm0524197')>, <Person: u'Bill Sage' (u'nm0756083')>]	American Psycho	0	1	0	0	0	feature	0	0	0	19	0	0	[]	1	0	0	6120	0
8.3	0	R	0	[<Person: u'Jake LaMotta' (u'nm0483766')>, <Person: u'Joseph Carter' (u'nm0141734')>]	1980	tt0081398	1	240154	[<Person: u'Martin Scorsese' (u'nm0000217')>]	[<Person: u'Robert De Niro' (u'nm0000134')>, <Person: u'Cathy Moriarty' (u'nm0001550')>, <Person: u'Joe Pesci' (u'nm0000582')>, <Person: u'Frank Vincent' (u'nm0898634')>]	Raging Bull	0	0	0	0	0	feature	0	0	0	12	0	0	[]	1	0	0	7740	0
8.4	0	Approved	0	[<Person: u'Alec Coppel' (u'nm0178785')>, <Person: u'Samuel A. Taylor' (u'nm0853138')>]	1958	tt0052357	0	255598	[<Person: u'Alfred Hitchcock' (u'nm0000033')>]	[<Person: u'James Stewart' (u'nm0000071')>, <Person: u'Kim Novak' (u'nm0001571')>, <Person: u'Barbara Bel Geddes' (u'nm0000895')>, <Person: u'Tom Helmore' (u'nm0375738')>]	Vertigo	0	0	1	0	0	feature	0	0	0	10	1	1	[]	0	0	0	7740	0
8.1	0	Not Rated	0	[<Person: u'Ingmar Bergman' (u'nm0000005')>]	1966	tt0060827	0	63828	[<Person: u'Ingmar Bergman' (u'nm0000005')>]	[<Person: u'Bibi Andersson' (u'nm0000761')>, <Person: u'Liv Ullmann' (u'nm0880521')>, <Person: u'Margaretha Krook' (u'nm0472234')>, <Person: u'Gunnar Bj\xf6rnstrand' (u'nm0085038')>]	Persona	0	0	0	0	0	feature	0	0	0	5	1	0	[]	1	0	0	4980	0
