,title,freq
0,tt0050212,1
1,tt0381681,6
2,tt0414993,1
3,tt0443536,2
4,tt0070544,1
5,tt0308644,2
6,tt0101301,1
7,tt0248654,1
8,tt0455275,1
9,tt3315342,1
10,tt0020629,1
11,tt0038390,1
12,tt2570858,2
13,tt1517489,1
14,tt0096180,1
15,tt0442933,2
16,tt1045658,5
17,tt1142972,1
18,tt0347149,13
19,tt1142977,2
20,tt4226388,8
21,tt2431438,1
22,tt0315327,1
23,tt1487118,1
24,tt2439190,1
25,tt4163224,1
26,tt2357291,7
27,tt3231564,1
28,tt2173024,1
29,tt2133196,1
30,tt0401085,1
31,tt0990407,1
32,tt3544112,1
33,tt0432348,1
34,tt3319920,5
35,tt1430132,3
36,tt4444438,1
37,tt0398286,30
38,tt1860353,4
39,tt5182856,1
40,tt1527186,1
41,tt0182576,2
42,tt2381249,30
43,tt1157549,1
44,tt0112442,1
45,tt3065204,2
46,tt0386117,1
47,tt2948356,61
48,tt2788716,1
49,tt1837709,1
50,tt2788710,1
51,tt0993846,20
52,tt4411504,3
53,tt1253863,4
54,tt1646971,25
55,tt3322364,7
56,tt1646974,1
57,tt0104779,1
58,tt0098904,1
59,tt0093010,1
60,tt1392214,3
61,tt0089155,1
62,tt2351177,1
63,tt2179116,2
64,tt0335345,1
65,tt3542188,1
66,tt0105950,1
67,tt0316396,2
68,tt0800026,1
69,tt4624424,1
70,tt0031679,1
71,tt3148834,1
72,tt3088362,1
73,tt1928340,1
74,tt0118692,1
75,tt1637688,5
76,tt1101637,1
77,tt0862467,1
78,tt0056869,1
79,tt0083987,1
80,tt0400868,1
81,tt1178663,1
82,tt1178665,4
83,tt0087469,2
84,tt0127710,2
85,tt0230600,1
86,tt1945084,1
87,tt6044910,1
88,tt0349903,1
89,tt5613056,4
90,tt3783958,1
91,tt3398268,8
92,tt0061852,2
93,tt1691917,4
94,tt0810819,19
95,tt0359950,6
96,tt1726592,1
97,tt0364725,1
98,tt2170593,1
99,tt3766394,2
100,tt0371606,3
101,tt2547584,1
102,tt1078588,1
103,tt0814314,4
104,tt4731072,1
105,tt2561572,7
106,tt2243537,1
107,tt1343092,9
108,tt1322269,2
109,tt0804497,2
110,tt2310332,5
111,tt0421994,1
112,tt3170832,49
113,tt0844471,9
114,tt1971325,1
115,tt1816518,1
116,tt1286863,1
117,tt1588173,3
118,tt0395479,1
119,tt2848292,13
120,tt1038988,1
121,tt2245003,1
122,tt0900387,2
123,tt2582846,10
124,tt1690953,24
125,tt0416449,3
126,tt0979432,1
127,tt2340678,1
128,tt2649554,1
129,tt2131532,1
130,tt3754940,1
131,tt0106307,2
132,tt0307453,5
133,tt0423849,1
134,tt1583420,1
135,tt0463854,1
136,tt1494191,1
137,tt1397514,1
138,tt0220099,1
139,tt1236429,1
140,tt4935334,1
141,tt3170902,6
142,tt0077651,1
143,tt2534634,1
144,tt0200276,1
145,tt3547740,1
146,tt1490017,20
147,tt0017136,1
148,tt0111161,19
149,tt0120623,17
150,tt0291350,2
151,tt2554274,15
152,tt2005151,2
153,tt2861424,5
154,tt0264464,5
155,tt1937390,3
156,tt0453451,1
157,tt0169547,10
158,tt3294200,1
159,tt1142988,2
160,tt3013588,1
161,tt3410408,1
162,tt1618421,1
163,tt1071358,1
164,tt2461520,1
165,tt1538403,5
166,tt2893490,1
167,tt3416828,5
168,tt0100403,1
169,tt3560464,1
170,tt0101605,1
171,tt1911644,2
172,tt0405422,1
173,tt3784222,1
174,tt2387559,2
175,tt1365050,21
176,tt0972785,1
177,tt0094721,1
178,tt0485601,2
179,tt0462335,4
180,tt1865505,11
181,tt0116209,1
182,tt0436058,1
183,tt0372824,1
184,tt0268978,9
185,tt2084970,19
186,tt0119008,1
187,tt4508902,1
188,tt1318514,1
189,tt2277860,37
190,tt0396707,1
191,tt2241351,2
192,tt0074896,1
193,tt1109624,4
194,tt3977462,1
195,tt3824386,2
196,tt0059592,1
197,tt0283503,1
198,tt0092752,1
199,tt1840417,1
200,tt1946280,1
201,tt0083658,2
202,tt5127958,1
203,tt0875034,1
204,tt1706620,4
205,tt1191111,1
206,tt0119174,1
207,tt0332379,3
208,tt0119177,3
209,tt0055254,2
