,title,freq
0,tt0050212,1
1,tt0381681,6
2,tt0414993,2
3,tt0113799,1
4,tt0308644,6
5,tt0801579,1
6,tt0100258,5
7,tt0248654,1
8,tt0086450,1
9,tt0280277,1
10,tt0111512,1
11,tt0051850,1
12,tt1045658,10
13,tt1971325,1
14,tt0347149,6
15,tt1142977,2
16,tt0405508,1
17,tt2431438,1
18,tt0292644,1
19,tt4991660,1
20,tt0310281,1
21,tt0119164,5
22,tt0408664,1
23,tt0088178,1
24,tt0450897,1
25,tt0096454,1
26,tt0088993,12
27,tt0059592,1
28,tt0401085,1
29,tt0337697,1
30,tt0066808,2
31,tt0478087,2
32,tt0990407,1
33,tt3544112,2
34,tt0381849,4
35,tt0432348,1
36,tt0129280,1
37,tt3319920,1
38,tt0107668,1
39,tt1430132,2
40,tt0398286,1
41,tt1527186,3
42,tt0277371,2
43,tt2381249,5
44,tt1213663,46
45,tt0462538,2
46,tt1666186,2
47,tt3393372,2
48,tt0115798,1
49,tt0076786,4
50,tt2948356,5
51,tt1767354,2
52,tt0063350,17
53,tt0993842,3
54,tt0993846,25
55,tt0060550,2
56,tt2272367,1
57,tt1173745,1
58,tt1646971,1
59,tt0071230,6
60,tt1646973,1
61,tt1646974,1
62,tt0789480,1
63,tt1499658,9
64,tt0457655,1
65,tt0104952,2
66,tt0098471,1
67,tt0335345,5
68,tt1879012,1
69,tt0401623,1
70,tt0480249,15
71,tt1262416,1
72,tt0139414,1
73,tt0118694,3
74,tt1662293,1
75,tt0091983,1
76,tt1637688,1
77,tt0108071,1
78,tt3612616,1
79,tt2120120,1
80,tt0056869,8
81,tt0083987,1
82,tt0043014,3
83,tt0856288,2
84,tt1178665,1
85,tt0087469,1
86,tt0261983,1
87,tt0387575,2
88,tt0230600,3
89,tt1817771,2
90,tt0102798,1
91,tt0349903,2
92,tt1876547,3
93,tt3783958,1
94,tt0363547,32
95,tt0029947,1
96,tt3487994,2
97,tt0120263,1
98,tt0359950,6
99,tt1650554,3
100,tt1092006,1
101,tt2543164,1
102,tt2170593,1
103,tt3766394,1
104,tt0080527,1
105,tt1078588,1
106,tt0080520,1
107,tt0069704,1
108,tt0814314,1
109,tt1226229,5
110,tt0407246,1
111,tt2944198,1
112,tt2561572,2
113,tt0368975,1
114,tt1343092,6
115,tt0083767,2
116,tt0064505,2
117,tt0804497,3
118,tt2310332,1
119,tt0903624,1
120,tt1465487,1
121,tt0421994,1
122,tt3170832,4
123,tt0435625,10
124,tt0098724,1
125,tt0450385,4
126,tt0844471,3
127,tt0977649,1
128,tt0204313,1
129,tt1816518,1
130,tt1588173,14
131,tt1588170,3
132,tt0480025,2
133,tt0012349,2
134,tt0533437,1
135,tt0080455,8
136,tt2582846,3
137,tt1690953,1
138,tt0416449,4
139,tt0365686,1
140,tt0165982,1
141,tt2131532,2
142,tt0106308,18
143,tt1226774,3
144,tt0017048,1
145,tt0307453,7
146,tt0080274,1
147,tt0423849,1
148,tt1583420,1
149,tt0118842,2
150,tt1397514,1
151,tt0073312,1
152,tt4935334,1
153,tt0077651,18
154,tt0705902,1
155,tt0390022,1
156,tt5115024,1
157,tt1226681,5
158,tt0290002,9
159,tt0080678,2
160,tt0195945,1
161,tt0291350,1
162,tt2554274,4
163,tt2005151,1
164,tt1411697,6
165,tt2861424,1
166,tt3921180,1
167,tt0264464,9
168,tt0084602,1
169,tt0169547,16
170,tt0940642,1
171,tt0279493,1
172,tt0095742,1
173,tt1142988,2
174,tt1558128,1
175,tt0119167,2
176,tt1481572,2
177,tt0389722,6
178,tt2461520,1
179,tt0107120,6
180,tt0236493,1
181,tt1716772,6
182,tt0342272,1
183,tt0707307,1
184,tt0462200,1
185,tt0134084,1
186,tt3416828,1
187,tt1190080,1
188,tt0070239,1
189,tt0279781,1
190,tt1605717,1
191,tt0443543,2
192,tt0084516,8
193,tt0087262,1
194,tt0373732,1
195,tt0405422,10
196,tt0091080,1
197,tt0055928,1
198,tt0092991,18
199,tt1365050,1
200,tt0099700,2
201,tt1512222,1
202,tt3774802,2
203,tt0094721,10
204,tt1865505,1
205,tt0116209,1
206,tt0346156,1
207,tt0372824,1
208,tt0268978,5
209,tt3626742,1
