rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
7.2	0	R	0	[<Person: u'John Carpenter' (u'nm0000118')>, <Person: u'Nick Castle' (u'nm0145309')>]	1981	tt0082340	0	93260	[<Person: u'John Carpenter' (u'nm0000118')>]	[<Person: u'Kurt Russell' (u'nm0000621')>, <Person: u'Lee Van Cleef' (u'nm0001812')>, <Person: u'Ernest Borgnine' (u'nm0000308')>, <Person: u'Donald Pleasence' (u'nm0000587')>]	Escape from New York	1	0	0	0	0	feature	0	0	0	6	0	0	[]	0	0	1	5940	0
4.5	0	R	0	[<Person: u'Jeffrey Reddick' (u'nm0714695')>, <Person: u'George A. Romero' (u'nm0001681')>]	2008	tt0489018	0	18182	[<Person: u'Steve Miner' (u'nm0591171')>]	[<Person: u'Mena Suvari' (u'nm0002546')>, <Person: u'Nick Cannon' (u'nm0134244')>, <Person: u'Michael Welch' (u'nm0919616')>, <Person: u'AnnaLynne McCord' (u'nm1715118')>]	Day of the Dead	0	0	0	0	0	video	0	1	0	4	1	0	[]	0	0	1	5160	0
7.1	0	R	0	[<Person: u'Pascal Laugier' (u'nm1052791')>]	2008	tt1029234	0	61155	[<Person: u'Pascal Laugier' (u'nm1052791')>]	[<Person: u'Morjana Alaoui' (u'nm1662011')>, <Person: u'Myl\xe8ne Jampano\xef' (u'nm1227864')>, <Person: u'Catherine B\xe9gin' (u'nm0126743')>, <Person: u'Robert Toupin' (u'nm0869590')>]	Martyrs	0	0	0	0	0	feature	0	1	0	7	0	0	[]	0	0	0	5940	0
7.3	0	R	0	[<Person: u'Jim Jarmusch' (u'nm0000464')>, <Person: u'Marion Bessay' (u'nm7377556')>]	2013	tt1714915	0	63597	[<Person: u'Jim Jarmusch' (u'nm0000464')>]	[<Person: u'Tilda Swinton' (u'nm0842770')>, <Person: u'Tom Hiddleston' (u'nm1089991')>, <Person: u'Mia Wasikowska' (u'nm1985859')>, <Person: u'John Hurt' (u'nm0000457')>]	Only Lovers Left Alive	0	0	1	0	1	feature	0	1	0	4	0	0	[]	1	0	0	7380	0
6.3	0	PG-13	0	[<Person: u'Mike Flanagan' (u'nm1093039')>, <Person: u'Jeff Howard' (u'nm3670452')>]	2016	tt4361050	0	10832	[<Person: u'Mike Flanagan' (u'nm1093039')>]	[<Person: u'Elizabeth Reaser' (u'nm0714147')>, <Person: u'Lulu Wilson' (u'nm5157662')>, <Person: u'Annalise Basso' (u'nm2399383')>, <Person: u'Henry Thomas' (u'nm0001794')>]	Ouija: Origin of Evil	0	0	0	0	0	feature	0	1	0	4	1	0	[]	0	0	0	5940	0
8.3	0	G	0	[<Person: u'Stanley Kubrick' (u'nm0000040')>, <Person: u'Arthur C. Clarke' (u'nm0002009')>]	1968	tt0062622	0	438223	[<Person: u'Stanley Kubrick' (u'nm0000040')>]	[<Person: u'Keir Dullea' (u'nm0001158')>, <Person: u'Gary Lockwood' (u'nm0516972')>, <Person: u'William Sylvester' (u'nm0843213')>, <Person: u'Daniel Richter' (u'nm0725220')>]	2001: A Space Odyssey	1	0	0	0	0	feature	0	0	1	13	0	1	[]	0	0	0	8940	0
7.3	0	PG-13	1	[<Person: u'Ted Elliott' (u'nm0254645')>, <Person: u'Terry Rossio' (u'nm0744429')>]	2006	tt0383574	0	531807	[<Person: u'Gore Verbinski' (u'nm0893659')>]	[<Person: u'Johnny Depp' (u'nm0000136')>, <Person: u'Orlando Bloom' (u'nm0089217')>, <Person: u'Keira Knightley' (u'nm0461136')>, <Person: u'Jack Davenport' (u'nm0202603')>]	Pirates of the Caribbean: Dead Man's Chest	0	0	0	0	0	feature	0	0	1	4	0	0	[]	0	0	1	9060	0
7.5	0	R	0	[<Person: u'Jaume Balaguer\xf3' (u'nm0049371')>, <Person: u'Paco Plaza' (u'nm0687042')>]	2007	tt1038988	0	134251	[<Person: u'Jaume Balaguer\xf3' (u'nm0049371')>, <Person: u'Paco Plaza' (u'nm0687042')>]	[<Person: u'Manuela Velasco' (u'nm0892299')>, <Person: u'Ferran Terraza' (u'nm0970337')>, <Person: u'Jorge-Yamam Serrano' (u'nm1970851')>, <Person: u'Pablo Rosso' (u'nm0744485')>]	[Rec]	0	0	0	0	0	feature	0	1	0	28	0	0	[]	0	0	0	4680	0
8.4	1	G	0	[<Person: u'Andrew Stanton' (u'nm0004056')>, <Person: u'Pete Docter' (u'nm0230032')>]	2008	tt0910970	0	738070	[<Person: u'Andrew Stanton' (u'nm0004056')>]	[<Person: u'Ben Burtt' (u'nm0123785')>, <Person: u'Elissa Knight' (u'nm2264184')>, <Person: u'Jeff Garlin' (u'nm0307531')>, <Person: u'Fred Willard' (u'nm0929609')>]	WALL·E	1	0	0	0	0	feature	0	0	1	8	0	0	[]	0	0	0	5880	0
6.8	0	PG-13	0	[<Person: u'Leigh Whannell' (u'nm1191481')>]	2010	tt1591095	0	208888	[<Person: u'James Wan' (u'nm1490123')>]	[<Person: u'Patrick Wilson' (u'nm0933940')>, <Person: u'Rose Byrne' (u'nm0126284')>, <Person: u'Ty Simpkins' (u'nm1339223')>, <Person: u'Lin Shaye' (u'nm0005417')>]	Insidious	0	0	0	0	0	feature	0	1	0	4	1	1	[]	0	0	0	6180	0
7.6	0	R	0	[<Person: u'John Landis' (u'nm0000484')>]	1981	tt0082010	0	66677	[<Person: u'John Landis' (u'nm0000484')>]	[<Person: u'David Naughton' (u'nm0622544')>, <Person: u'Jenny Agutter' (u'nm0000256')>, <Person: u'Joe Belcher' (u'nm0067643')>, <Person: u'Griffin Dunne' (u'nm0001162')>]	An American Werewolf in London	0	0	0	0	1	feature	0	1	0	9	0	0	[]	0	0	0	5820	0
